ID	RG	CHIP_ID	#SNPS	#READS	AVG_DP	FREEMIX	FREELK1	FREELK0	FREE_RH	FREE_RA	CHIPMIX	CHIPLK1	CHIPLK0	CHIP_RH	CHIP_RA	DPREF	RDPHET	RDPALT
HG01961	NA	NA	10000	297900	29.793	0.00195489	-64899.2	-66020.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01965	NA	NA	10000	308320	30.8351	1.26234e-08	-77777	-77777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01967	NA	NA	10000	301707	30.1767	4.47584e-09	-73181.9	-147384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01968	NA	NA	10000	331663	33.1696	1.02057e-08	-71781.1	-71781.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01969	NA	NA	10000	349139	34.9209	3.33045e-09	-82024.6	-104039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01970	NA	NA	10000	311347	31.1409	3.13839e-09	-67371.9	-67371.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01971	NA	NA	10000	330709	33.0742	8.72086e-10	-82485.5	-172491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01972	NA	NA	10000	346108	34.6246	2.62549e-09	-86736.8	-86736.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01973	NA	NA	10000	290072	29.0159	1.94398e-08	-67271	-67271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01974	NA	NA	10000	296068	29.6098	3.28398e-10	-66311.9	-107147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01975	NA	NA	10000	354005	35.404	7.37008e-09	-78729.9	-101842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01976	NA	NA	10000	316812	31.6907	2.95211e-05	-77180.6	-92773.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01977	NA	NA	10000	300082	30.0172	5.19475e-09	-70320.4	-83503.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01978	NA	NA	10000	360653	36.0761	1.50962e-08	-85189.4	-85189.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01979	NA	NA	10000	339277	33.9311	3.40391e-05	-82718.7	-95673.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01980	NA	NA	10000	291652	29.171	1.02475e-07	-71949.9	-71949.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01981	NA	NA	10000	338699	33.8767	6.03609e-10	-81603.9	-181241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01982	NA	NA	10000	330972	33.1038	1.89967e-08	-77402	-77402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01983	NA	NA	10000	360006	36.0078	4.74088e-09	-86290.3	-110438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01984	NA	NA	10000	313815	31.3878	2.22878e-08	-75776	-75776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01985	NA	NA	10000	292939	29.2998	7.49884e-09	-73755.2	-132813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01986	NA	NA	10000	295657	29.5687	8.56182e-09	-78268.3	-144551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01987	NA	NA	10000	346530	34.6599	1.45335e-09	-89554.8	-152555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01988	NA	NA	10000	308185	30.8216	1.22492e-08	-83279.7	-153964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01989	NA	NA	10000	303081	30.3142	5.7535e-09	-78451.6	-145128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01990	NA	NA	10000	301679	30.18	2.11251e-09	-77384	-145782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01991	NA	NA	10000	299442	29.9532	9.10455e-09	-72562.6	-72562.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01992	NA	NA	10000	295508	29.5538	8.85146e-09	-66463.1	-66463.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01993	NA	NA	10000	336931	33.7066	1.89582e-08	-79140	-101471	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01997	NA	NA	10000	292141	29.2258	9.44013e-10	-65717.4	-142802	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01998	NA	NA	10000	350675	35.078	1.17752e-08	-80689.5	-80689.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02002	NA	NA	10000	329605	32.9638	1.71633e-08	-78445.1	-78445.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02003	NA	NA	10000	305891	30.5922	3.04187e-09	-72034.7	-127875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02004	NA	NA	10000	342381	34.2484	9.47488e-09	-78333.6	-84456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02006	NA	NA	10000	332142	33.2208	4.76404e-09	-92937.3	-168154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02008	NA	NA	10000	296481	29.657	7.1503e-09	-69486	-89255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02009	NA	NA	10000	294276	29.4453	6.3496e-09	-79237.6	-79237.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02010	NA	NA	10000	293931	29.4019	9.76485e-09	-76174.4	-76174.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02011	NA	NA	10000	342782	34.2816	6.45986e-09	-89604.4	-152374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02012	NA	NA	10000	392046	39.2203	2.21408e-09	-101686	-168561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02013	NA	NA	10000	335582	33.5683	2.42118e-08	-85557.5	-85557.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02014	NA	NA	10000	310431	31.0524	1.34906e-09	-80249.9	-145139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02015	NA	NA	10000	351141	35.1211	1.40241e-08	-86344	-86344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02016	NA	NA	10000	293937	29.3996	3.89608e-09	-75061.4	-133587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02017	NA	NA	10000	297033	29.7092	5.73235e-09	-72411.2	-134649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02018	NA	NA	10000	337420	33.7521	0.000859181	-82010.9	-82544.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02019	NA	NA	10000	295263	29.5352	4.43028e-11	-70061.3	-131052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02020	NA	NA	10000	302558	30.2649	3.97752e-09	-73105.8	-124462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02023	NA	NA	10000	314074	31.4137	8.2134e-10	-77024.9	-153285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02024	NA	NA	10000	326940	32.7005	3.01778e-08	-79916.9	-79916.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02025	NA	NA	10000	320596	32.0692	2.50146e-09	-77421.3	-127507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02026	NA	NA	10000	290030	29.0059	2.19357e-08	-70217.4	-70217.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02027	NA	NA	10000	346116	34.622	8.1156e-08	-84015.9	-95140.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02028	NA	NA	10000	293477	29.3477	1.37687e-08	-73017.5	-73017.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02029	NA	NA	10000	321521	32.1553	3.2628e-08	-78844.3	-137775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02030	NA	NA	10000	343248	34.3317	5.44739e-09	-84215.6	-84215.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02031	NA	NA	10000	309562	30.9624	0.000101426	-78021.2	-82588.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02032	NA	NA	10000	322003	32.2067	9.1401e-10	-78837.7	-144718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02035	NA	NA	10000	335656	33.569	2.28811e-09	-81220	-129959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02040	NA	NA	10000	328760	32.8793	9.82873e-09	-79002.9	-79002.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02047	NA	NA	10000	332176	33.2276	1.15499e-08	-79878.8	-79878.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02048	NA	NA	10000	317704	31.7768	1.9601e-10	-76249.7	-132608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02049	NA	NA	10000	326835	32.6868	3.92717e-09	-81337.3	-132531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02050	NA	NA	10000	364550	36.4659	1.73927e-08	-86916.3	-86916.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02051	NA	NA	10000	341185	34.1253	8.15302e-09	-85180.2	-85180.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02052	NA	NA	10000	305815	30.5876	1.91028e-09	-75419.2	-137712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02053	NA	NA	10000	300818	30.0938	4.43398e-09	-77050.3	-143305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02054	NA	NA	10000	295891	29.598	8.34124e-09	-78738.4	-137723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02055	NA	NA	10000	337903	33.8072	1.45004e-09	-87253.7	-152628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02056	NA	NA	10000	335068	33.5135	2.48987e-08	-80174.6	-80174.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02057	NA	NA	10000	321002	32.1034	4.59783e-09	-77828.8	-132860	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02058	NA	NA	10000	337628	33.7662	2.17129e-09	-83182.5	-142716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02059	NA	NA	10000	341310	34.1378	1.98623e-08	-79571.1	-79571.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02060	NA	NA	10000	321496	32.156	6.69775e-09	-78190.8	-78190.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02061	NA	NA	10000	346906	34.6975	2.64778e-08	-82606.5	-141790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02064	NA	NA	10000	302741	30.2802	0.000172272	-75622.8	-103084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02067	NA	NA	10000	327054	32.7119	5.20976e-09	-79813.7	-79813.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02068	NA	NA	10000	339229	33.9263	8.98808e-10	-82863.2	-172112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02069	NA	NA	10000	290611	29.0611	7.17992e-09	-71597.5	-71597.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02070	NA	NA	10000	305810	30.5902	1.34273e-05	-74685.5	-145392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02071	NA	NA	10000	321420	32.1516	0.000182738	-76203.6	-139180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02072	NA	NA	10000	324161	32.4193	2.13671e-09	-76848.8	-117141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02073	NA	NA	10000	323546	32.3643	5.07845e-10	-78412.8	-152222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02074	NA	NA	10000	389107	38.9263	1.17774e-08	-91927.7	-148758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG02075	NA	NA	10000	316982	31.7045	4.57609e-09	-76876.8	-76876.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
