ID,优先纳入,PC,role,value
1212250,FIRST,2,Contaminating,-0.0391916
1212250,FIRST,3,Contaminating,-0.134799
1212250,FIRST,4,Contaminating,-0.0709099
102YWC,FIRST,1,Contaminating,-0.00720112
102YWC,FIRST,2,Contaminating,-0.00370795
102YWC,FIRST,3,Contaminating,-0.00075473
102YWC,FIRST,4,Contaminating,-0.0388768
107FJW,FIRST,1,Contaminating,-0.00637236
107FJW,FIRST,2,Contaminating,0.000375547
107FJW,FIRST,3,Contaminating,0.00810602
107FJW,FIRST,4,Contaminating,0.015927
119SZX,FIRST,1,Contaminating,-0.00236715
119SZX,FIRST,2,Contaminating,-0.0091188
119SZX,FIRST,3,Contaminating,0.00921103
119SZX,FIRST,4,Contaminating,-0.00447685
1GJM,FIRST,1,Contaminating,-0.00526209
1GJM,FIRST,2,Contaminating,-0.0108537
1GJM,FIRST,3,Contaminating,-0.0582349
1GJM,FIRST,4,Contaminating,-0.00141203
2023072001-1A,FIRST,1,Contaminating,0.33049
2023072001-1A,FIRST,2,Contaminating,-1.2114
2023072001-1A,FIRST,3,Contaminating,-0.226338
2023072001-1A,FIRST,4,Contaminating,0.87008
2023072002-1A,FIRST,1,Contaminating,-0.0265569
2023072002-1A,FIRST,2,Contaminating,-0.10006
2023072002-1A,FIRST,3,Contaminating,-0.0405659
2023072002-1A,FIRST,4,Contaminating,0.034292
2023072003-1A,FIRST,1,Contaminating,-0.00113859
2023072003-1A,FIRST,2,Contaminating,0.141947
2023072003-1A,FIRST,3,Contaminating,-0.0624083
2023072003-1A,FIRST,4,Contaminating,0.726925
2BT22060700001,FIRST,1,Contaminating,-0.00459459
2BT22060700001,FIRST,2,Contaminating,0.00459765
2BT22060700001,FIRST,3,Contaminating,0.102309
2BT22060700001,FIRST,4,Contaminating,0.0437933
2BT22060700002,FIRST,1,Contaminating,-1.40749
2BT22060700002,FIRST,2,Contaminating,2.34043
2BT22060700002,FIRST,3,Contaminating,-2.65112
2BT22060700002,FIRST,4,Contaminating,-5.75015
2BT22060700003,FIRST,1,Contaminating,-0.154537
2BT22060700003,FIRST,2,Contaminating,-0.0820786
2BT22060700003,FIRST,3,Contaminating,-0.168772
2BT22060700003,FIRST,4,Contaminating,0.0909252
2BT22060700004,FIRST,1,Contaminating,-0.300301
