ID,优先纳入,AVG_DP,FREEMIX,status
C568C,FIRST,28.5755,0.000662259,PASS
C569C,FIRST,28.1399,0.000430989,PASS
C570C,FIRST,30.5137,8.4e-05,PASS
C571C,FIRST,32.5292,0.000143105,PASS
C572C,FIRST,31.067,0.000203648,PASS
C573C,FIRST,30.5107,0.000281567,PASS
C574C,FIRST,30.0593,0.000205544,PASS
C575C,FIRST,31.1333,6.28e-05,PASS
C576C,FIRST,28.3161,0.000365763,PASS
C578C,FIRST,32.1702,0.000119187,PASS
C579C,FIRST,33.323,0.00101291,PASS
C580C,FIRST,31.8385,0.0231223,FAIL
C582C,FIRST,28.3714,0.000133589,PASS
C584C,FIRST,32.8325,6.08e-05,PASS
C589C,FIRST,29.7827,0.000205133,PASS
C598C,FIRST,36.4131,0.000421368,PASS
C5C,FIRST,31.9126,0.000192024,PASS
C603C,FIRST,27.8041,6.05e-05,PASS
C605C,FIRST,27.7849,0.000152609,PASS
C607C,FIRST,31.3963,0.000280958,PASS
C608C,FIRST,30.088,5.89e-05,PASS
C609C,FIRST,31.3207,7.4e-05,PASS
C610C,FIRST,31.2855,6.97e-05,PASS
C611C,FIRST,29.2362,0.000199329,PASS
C612C,FIRST,28.9489,0.00011922,PASS
C613C,FIRST,30.5846,0.000209953,PASS
C615C,FIRST,37.3115,6.66e-05,PASS
C616C,FIRST,38.568,8.31e-05,PASS
C617C,FIRST,36.3261,0.000109979,PASS
C618C,FIRST,37.8794,0.000173752,PASS
C619C,FIRST,37.5112,7.65e-05,PASS
C620C,FIRST,38.3332,0.000146928,PASS
C623C,FIRST,37.8281,0.000100205,PASS
C626C,FIRST,35.5111,8.39e-05,PASS
C628C,FIRST,37.1554,9.16e-05,PASS
C631C,FIRST,36.9693,0.00025232,PASS
C632C,FIRST,34.6442,0.000243181,PASS
C633C,FIRST,36.3039,0.00019096,PASS
C634C,FIRST,35.419,2.32e-05,PASS
C635C,FIRST,33.9828,0.000216253,PASS
C636C,FIRST,33.6524,0.000111357,PASS
C639C,FIRST,39.2602,0.000217205,PASS
C63C,FIRST,33.5733,0.00121278,PASS
C640C,FIRST,39.2315,8.34e-05,PASS
C641C,FIRST,39.1106,9.04e-05,PASS
C642C,FIRST,39.8644,7.51e-05,PASS
C644C,FIRST,39.8654,8.07e-05,PASS
C645C,FIRST,38.9893,2.08e-11,PASS
C646C,FIRST,31.4747,0.000341526,PASS
C647C,FIRST,32.4352,0.000115135,PASS
C648C,FIRST,32.2421,3.63e-05,PASS
C650C,FIRST,32.8501,6.57e-05,PASS
